id,ingredient_name,ailment_category,specific_ailments,positive_effects,negative_effects,recipe_tags,serving_suggestion
129,Kohlrabi,Digestive Health,"Constipation,Weight Management,Inflammation","High fiber,Low calorie,Anti-inflammatory,Vitamin C","May cause gas,Unusual texture",digestive-aid;weight-management;anti-inflammatory,Raw or roasted
130,Bok Choy,Bone Health,"Weak Bones,Inflammation,Eye Health","Calcium rich,Anti-inflammatory,Vitamin A,Low calorie","May affect thyroid,Mild flavor",bone-health;anti-inflammatory;eye-health,Stir-fries or soups
131,Swiss Chard,Blood Health,"Anemia,Inflammation,Blood Sugar","Iron rich,Anti-inflammatory,Blood sugar control,Vitamin K","High oxalates,May interact with blood thinners",blood-building;anti-inflammatory;blood-sugar,Sautéed or soups
132,Collard Greens,Bone Health,"Weak Bones,Cholesterol,Cancer Prevention","Calcium rich,Cholesterol binding,Cancer prevention,Vitamin K","High oxalates,May cause gas",bone-health;heart-healthy;cancer-prevention,Sautéed or braised
133,Mustard Greens,Immune Support,"Low Immunity,Inflammation,Cancer Prevention","Immune boost,Anti-inflammatory,Cancer prevention,Vitamin C","Spicy flavor,May cause gas",immune-boost;anti-inflammatory;cancer-prevention,Sautéed or salads
134,Arugula,Bone Health,"Weak Bones,Inflammation,Eye Health","Calcium rich,Anti-inflammatory,Vitamin K,Low calorie","Peppery taste,Wilts quickly",bone-health;anti-inflammatory;eye-health,Salads or pizza
135,Watercress,Cancer Prevention,"Cancer Risk,Bone Health,Eye Health","Cancer prevention,Bone support,Eye health,Nutrient dense","May cause thyroid issues,Strong taste",cancer-prevention;bone-health;eye-health,Salads or smoothies
136,Endive,Digestive Health,"Constipation,Blood Sugar,Liver Health","Prebiotic fiber,Blood sugar control,Liver support,Low calorie","Bitter taste,May cause gas",digestive-aid;blood-sugar;liver-health,Salads or braised
137,Radicchio,Liver Health,"Liver Issues,Blood Sugar,Digestive Problems","Liver support,Blood sugar control,Digestive aid,Antioxidants","Bitter taste,May be expensive",liver-health;blood-sugar;digestive-aid,Salads or grilled
138,Fennel Bulb,Digestive Health,"Bloating,Menstrual Cramps,Eye Health","Reduces bloating,Menstrual relief,Eye health,Fiber","May affect estrogen,Licorice flavor",digestive-aid;hormone-balance;eye-health,Raw or roasted
139,Jicama,Digestive Health,"Constipation,Blood Sugar,Weight Management","Prebiotic fiber,Blood sugar control,Low calorie,Hydrating","May cause gas initially,Skin is toxic",digestive-aid;blood-sugar;weight-management,Raw or slaws
140,Daikon Radish,Digestive Health,"Indigestion,Respiratory Issues,Inflammation","Digestive enzymes,Respiratory support,Anti-inflammatory,Low calorie","May cause gas,Strong flavor",digestive-aid;respiratory-aid;anti-inflammatory,Raw or pickled
141,Lotus Root,Heart Health,"High Blood Pressure,Digestive Issues,Energy Issues","Blood pressure support,Digestive aid,Sustained energy,Fiber","May cause constipation if overcooked,Must be cooked",heart-healthy;digestive-aid;energy-boost,Stir-fries or chips
142,Taro Root,Digestive Health,"Digestive Issues,Blood Sugar,Energy Issues","Gut health,Blood sugar control,Sustained energy,Fiber","Must be cooked thoroughly,High carbs",digestive-aid;blood-sugar;energy-boost,Mashed or chips
143,Yam,Hormone Balance,"Menopause,Blood Sugar,Energy Issues","Hormone support,Blood sugar control,Energy,Vitamin C","High carbs,May affect hormone medications",hormone-balance;blood-sugar;energy-boost,Baked or mashed
144,Cassava,Energy Support,"Low Energy,Digestive Issues,Gluten Intolerance","Energy source,Gluten-free,Resistant starch,Versatile","Must be prepared properly,High carbs",energy-boost;gluten-free;digestive-aid,Boiled or fried
145,Plantain,Digestive Health,"Ulcers,Constipation,Energy Issues","Ulcer healing,Digestive aid,Energy source,Potassium","High carbs,Must be cooked",digestive-aid;energy-boost;ulcer-healing,Baked or fried
146,Jackfruit,Heart Health,"High Blood Pressure,Blood Sugar,Digestive Issues","Blood pressure support,Blood sugar control,Fiber,Vitamin C","High sugar when ripe,May cause allergies",heart-healthy;blood-sugar;digestive-aid,Cooked or raw
147,Breadfruit,Energy Support,"Low Energy,Blood Pressure,Digestive Issues","Sustained energy,Blood pressure support,High fiber,Gluten-free","High carbs,Seasonal availability",energy-boost;heart-healthy;digestive-aid,Roasted or fried
148,Durian,Energy and Mood,"Fatigue,Depression,Anemia","Energy boost,Mood support,Iron rich,Vitamin C","Strong smell,High calories",energy-boost;mood-boost;blood-building,Fresh
149,Passion Fruit,Sleep Support,"Insomnia,Anxiety,Blood Pressure","Natural sedative,Anxiety relief,Blood pressure support,Antioxidants","Seeds may be hard to digest,Tart taste",sleep-aid;calming;heart-healthy,Fresh or juice
150,Dragon Fruit,Digestive Health,"Constipation,Blood Sugar,Immunity","Prebiotic fiber,Blood sugar control,Immune support,Hydrating","Mild flavor,May cause red stool",digestive-aid;blood-sugar;immune-boost,Fresh or smoothies
151,Lychee,Immune Support,"Low Immunity,Skin Health,Blood Pressure","Vitamin C,Skin health,Blood pressure support,Antioxidants","High sugar,May cause allergies",immune-boost;skin-health;heart-healthy,Fresh or desserts
152,Longan,Sleep Support,"Insomnia,Anxiety,Blood Health","Sleep support,Anxiety relief,Blood building,Antioxidants","High sugar,May be hard to find",sleep-aid;calming;blood-building,Fresh or dried
153,Rambutan,Energy Support,"Fatigue,Anemia,Skin Health","Energy boost,Iron rich,Skin health,Vitamin C","High sugar,Short shelf life",energy-boost;blood-building;skin-health,Fresh
154,Mangosteen,Inflammation,"Chronic Inflammation,Skin Issues,Immune Weakness","Anti-inflammatory,Skin health,Immune support,Antioxidants","May interact with blood thinners,Expensive",anti-inflammatory;skin-health;immune-boost,Fresh
155,Starfruit,Kidney Health,"Kidney Stones,Constipation,Blood Pressure","Natural diuretic,Fiber rich,Blood pressure support,Vitamin C","Toxic for kidney disease patients,Tart taste",kidney-health;digestive-aid;heart-healthy,Fresh or garnish
156,Guava,Immune Support,"Cold,Digestive Issues,Blood Sugar","Highest Vitamin C,Digestive aid,Blood sugar control,Lycopene","Seeds may cause constipation,May cause allergies",immune-boost;digestive-aid;blood-sugar,Fresh or juice
157,Feijoa,Immune Support,"Cold,Digestive Issues,Thyroid Health","Vitamin C,Digestive aid,Iodine for thyroid,Antioxidants","Grainy texture,Short season",immune-boost;digestive-aid;thyroid-health,Fresh
158,Persimmon,Heart Health,"High Cholesterol,Constipation,High Blood Pressure","Cholesterol reduction,Fiber rich,Blood pressure support,Antioxidants","Unripe causes digestive issues,High sugar",heart-healthy;digestive-aid;blood-pressure,Fresh when ripe
159,Quince,Digestive Health,"Nausea,Diarrhea,Ulcers","Anti-nausea,Anti-diarrheal,Ulcer healing,Vitamin C","Must be cooked,Astringent when raw",digestive-aid;anti-nausea;ulcer-healing,Cooked or jelly
160,Mulberries,Blood Sugar,"Diabetes,Cholesterol,Constipation","Blood sugar control,Cholesterol reduction,Fiber,Antioxidants","May interact with diabetes meds,Stains easily",blood-sugar;heart-healthy;digestive-aid,Fresh or dried
161,Elderberries,Immune Support,"Cold,Flu,Inflammation","Immune boost,Anti-viral,Anti-inflammatory,Antioxidants","Must be cooked,Raw is toxic",immune-boost;anti-viral;anti-inflammatory,Syrup or cooked
162,Sea Buckthorn,Skin Health,"Skin Issues,Inflammation,Heart Health","Omega-7 for skin,Anti-inflammatory,Heart healthy,Vitamin C","Strong taste,May stain",skin-health;anti-inflammatory;heart-healthy,Oil or juice
163,Noni,Immune Support,"Low Immunity,Pain,Inflammation","Immune boost,Pain relief,Anti-inflammatory,Antioxidants","Strong unpleasant taste,May affect liver",immune-boost;pain-relief;anti-inflammatory,Juice
164,Baobab,Digestive Health,"Constipation,Blood Sugar,Immunity","Prebiotic fiber,Blood sugar control,Vitamin C,Calcium","May cause bloating,Expensive",digestive-aid;blood-sugar;immune-boost,Powder in smoothies
165,Camu Camu,Immune Support,"Cold,Inflammation,Mood Issues","Highest Vitamin C,Anti-inflammatory,Mood support,Antioxidants","Very sour,Expensive",immune-boost;anti-inflammatory;mood-boost,Powder in smoothies
166,Lucuma,Blood Sugar,"Diabetes,Skin Health,Energy Issues","Low glycemic sweetener,Skin health,Sustained energy,Beta-carotene","May cause allergies,Hard to find",blood-sugar;skin-health;energy-boost,Powder as sweetener
167,Mesquite,Blood Sugar,"Diabetes,Digestive Issues,Energy Issues","Low glycemic,Fiber rich,Sustained energy,Mineral rich","May cause allergies,Strong flavor",blood-sugar;digestive-aid;energy-boost,Powder in baking
168,Carob,Digestive Health,"Diarrhea,Cholesterol,Weight Management","Anti-diarrheal,Cholesterol reduction,Low fat,Caffeine-free","May cause allergies,Different from chocolate",digestive-aid;heart-healthy;weight-management,Powder as chocolate substitute
169,Tiger Nuts,Digestive Health,"Constipation,Heart Health,Weight Management","Prebiotic fiber,Heart healthy,Resistant starch,Mineral rich","May cause bloating,Choking hazard for children",digestive-aid;heart-healthy;weight-management,Snack or milk
170,Sacha Inchi,Brain Health,"Brain Fog,Inflammation,Skin Health","Omega-3 rich,Anti-inflammatory,Skin health,Complete protein","May cause digestive upset,Expensive",brain-health;anti-inflammatory;skin-health,Seeds or oil
171,Brazil Nuts,Thyroid Health,"Thyroid Issues,Inflammation,Mood Issues","Highest selenium,Thyroid support,Anti-inflammatory,Mood support","Limit to 2-3 daily,High calories",thyroid-health;anti-inflammatory;mood-boost,Snack (limited)
172,Macadamia Nuts,Heart Health,"High Cholesterol,Inflammation,Brain Health","Heart healthy fats,Anti-inflammatory,Brain health,Thiamine","High calories,Expensive",heart-healthy;anti-inflammatory;brain-health,Snack or baking
173,Pecans,Heart Health,"High Cholesterol,Inflammation,Blood Sugar","Heart healthy fats,Anti-inflammatory,Blood sugar control,Manganese","High calories,Potential allergen",heart-healthy;anti-inflammatory;blood-sugar,Snack or baking
174,Hazelnuts,Heart Health,"High Cholesterol,Brain Health,Skin Health","Heart healthy fats,Vitamin E,Folate,Manganese","High calories,Potential allergen",heart-healthy;brain-health;skin-health,Snack or baking
175,Pistachios,Eye Health,"Vision Issues,Blood Sugar,Gut Health","Eye health carotenoids,Blood sugar control,Prebiotic fiber,Protein","Can overeat easily,High sodium if salted",eye-health;blood-sugar;digestive-aid,Snack
176,Cashews,Bone Health,"Weak Bones,Anemia,Nerve Health","Magnesium rich,Iron source,Copper for nerves,Zinc","High calories,May trigger allergies",bone-health;blood-building;nerve-health,Snack or sauces
177,Pine Nuts,Energy Support,"Fatigue,Appetite Control,Eye Health","Energy boost,Appetite suppression,Vitamin E,Eye health","Expensive,May cause pine mouth",energy-boost;appetite-control;eye-health,Pesto or garnish
178,Coconut Meat,Energy Support,"Fatigue,Digestive Issues,Skin Health","Quick energy MCTs,Fiber,Skin moisturizing,Mineral rich","High saturated fat,High calories",energy-boost;digestive-aid;skin-health,Fresh or dried
179,Coconut Water,Hydration,"Dehydration,Muscle Cramps,Hangover","Electrolyte balance,Hydrating,Muscle support,Low calorie","Sugar content varies,May cause bloating",hydration;muscle-support;electrolyte-balance,Fresh or packaged
180,Coconut Milk,Dairy Alternative,"Lactose Intolerance,Weight Management,Skin Health","Dairy-free,MCTs for energy,Skin health,Versatile","High saturated fat,High calories",dairy-alternative;energy-boost;skin-health,Cooking or smoothies
181,Almond Milk,Dairy Alternative,"Lactose Intolerance,Weight Management,Bone Health","Dairy-free,Low calorie,Vitamin E,Often fortified","Low protein,May have additives",dairy-alternative;weight-management;bone-health,Beverages or cereal
182,Oat Milk,Heart Health,"High Cholesterol,Lactose Intolerance,Blood Sugar","Beta-glucan fiber,Heart healthy,Blood sugar control,Creamy texture","May contain gluten,Added sugars",heart-healthy;dairy-alternative;blood-sugar,Beverages or cooking
183,Soy Milk,Bone Health,"Weak Bones,Menopause,Muscle Health","Complete protein,Calcium if fortified,Isoflavones,Versatile","Soy concerns,May affect thyroid",bone-health;hormone-balance;muscle-support,Beverages or cooking
184,Rice Milk,Allergy-Friendly,"Multiple Allergies,Digestive Sensitivity,Low Immunity","Hypoallergenic,Easy to digest,Low fat,Fortified options","Low protein,High glycemic",allergy-friendly;digestive-aid;low-allergen,Beverages or cooking
185,Hemp Milk,Brain Health,"Brain Fog,Inflammation,Skin Health","Omega balance,Complete protein,Skin health,Mineral rich","Grassy flavor,May be expensive",brain-health;anti-inflammatory;skin-health,Beverages or smoothies
186,Flax Milk,Heart Health,"High Cholesterol,Inflammation,Bone Health","Omega-3 rich,Anti-inflammatory,Often fortified,Low calorie","Low protein,May have additives",heart-healthy;anti-inflammatory;bone-health,Beverages
187,Cashew Milk,Bone Health,"Weak Bones,Eye Health,Weight Management","Creamy texture,Low calorie,Magnesium,Zinc","Low protein,May trigger allergies",bone-health;eye-health;weight-management,Beverages or cooking
188,Pea Milk,Muscle Health,"Muscle Recovery,Allergies,Sustainability","High protein,Allergy-friendly,Sustainable,Fortified","Slight pea taste,Processed",muscle-support;allergy-friendly;sustainable,Beverages or smoothies
189,Prunes,Digestive Health,"Constipation,Bone Health,Blood Sugar","Natural laxative,Bone density,Blood sugar control,Antioxidants","High sugar,May cause diarrhea",digestive-aid;bone-health;blood-sugar,Snack or stewed
190,Dates,Energy Support,"Fatigue,Constipation,Anemia","Natural energy,Fiber rich,Iron source,Potassium","Very high sugar,Sticky on teeth",energy-boost;digestive-aid;blood-building,Snack or natural sweetener
191,Figs,Bone Health,"Weak Bones,Constipation,Blood Pressure","Calcium rich,Fiber,Potassium,Antioxidants","High sugar,May cause allergies",bone-health;digestive-aid;heart-healthy,Fresh or dried
192,Apricots,Eye Health,"Vision Issues,Skin Health,Constipation","Beta-carotene,Vitamin A,Fiber,Potassium","High sugar when dried,May cause allergies",eye-health;skin-health;digestive-aid,Fresh or dried
193,Raisins,Energy Support,"Fatigue,Anemia,Constipation","Quick energy,Iron source,Fiber,Boron for bones","High sugar,Sticky on teeth",energy-boost;blood-building;digestive-aid,Snack or baking
194,Currants,Heart Health,"High Blood Pressure,Inflammation,Eye Health","Potassium,Anti-inflammatory,Vitamin C,Anthocyanins","High sugar,May be confused with raisins",heart-healthy;anti-inflammatory;eye-health,Baking or snack
195,Dried Cranberries,Urinary Health,"UTI,Inflammation,Heart Health","UTI prevention,Antioxidants,Heart health,Fiber","Often high added sugar,May interact with warfarin",urinary-health;antioxidant;heart-healthy,Snack or salads
196,Dried Mango,Energy Support,"Fatigue,Skin Health,Immunity","Natural energy,Vitamin A,Vitamin C,Fiber","Very high sugar,Often has added sugar",energy-boost;skin-health;immune-boost,Snack
197,Dried Papaya,Digestive Health,"Indigestion,Constipation,Immunity","Digestive enzymes,Fiber,Vitamin C,Vitamin A","Often has added sugar,High calories",digestive-aid;immune-boost;energy-boost,Snack
198,Dried Pineapple,Inflammation,"Joint Pain,Digestive Issues,Immunity","Bromelain,Fiber,Vitamin C,Manganese","High sugar,May irritate mouth",anti-inflammatory;digestive-aid;immune-boost,Snack
199,Dried Coconut,Energy Support,"Fatigue,Skin Health,Constipation","MCTs for energy,Fiber,Iron,Skin health","High saturated fat,High calories",energy-boost;skin-health;digestive-aid,Snack or baking
200,Ghee,Digestive Health,"Lactose Intolerance,Inflammation,Skin Health","Lactose-free,Butyric acid for gut,Anti-inflammatory,Vitamin A","High saturated fat,High calories",digestive-aid;anti-inflammatory;skin-health,Cooking
201,Cod Liver Oil,Bone Health,"Weak Bones,Immunity,Depression","Vitamin D,Vitamin A,Omega-3,Bone health","May contain toxins,Strong taste",bone-health;immune-boost;mood-boost,Supplement
202,Collagen Peptides,Joint Health,"Joint Pain,Skin Aging,Gut Issues","Joint support,Skin elasticity,Gut healing,Nail strength","May cause bloating,Animal derived",joint-health;skin-health;gut-health,Powder in beverages
203,Nutritional Yeast,B-Vitamin Support,"Fatigue,Veganism,Nerve Health","B12 if fortified,Complete protein,B vitamins,Cheese-like flavor","May cause headaches for some,Uric acid concerns",energy-boost;nerve-health;vegan-support,Seasoning
204,Blackstrap Molasses,Blood Building,"Anemia,Muscle Cramps,Bone Health","Iron rich,Calcium,Magnesium,Potassium","High sugar,Strong taste",blood-building;muscle-support;bone-health,Baking or beverages
205,Raw Cacao Nibs,Mood Support,"Depression,Low Energy,Inflammation","Mood enhancer,Antioxidants,Magnesium,Theobromine","Bitter taste,Caffeine",mood-boost;antioxidant;energy-boost,Smoothies or snacks
206,Matcha,Focus and Energy,"Brain Fog,Fatigue,Stress","L-theanine for calm focus,Antioxidants,Metabolism boost,Energy","Caffeine,May contain lead",focus;energy-boost;antioxidant,Tea or lattes
207,Yerba Mate,Energy Support,"Fatigue,Focus Issues,Weight Management","Natural caffeine,Antioxidants,Metabolism boost,Focus","Caffeine,May affect sleep",energy-boost;focus;weight-management,Tea
208,Rooibos Tea,Allergy Support,"Allergies,Sleep Issues,Skin Problems","Caffeine-free,Quercetin for allergies,Sleep aid,Skin health","May interact with chemotherapy,Mild effect",allergy-support;sleep-aid;skin-health,Tea
209,Hibiscus Tea,Blood Pressure,"High Blood Pressure,Inflammation,Liver Health","Lowers blood pressure,Anti-inflammatory,Liver support,Vitamin C","May lower blood pressure too much,Not for pregnancy",blood-pressure;anti-inflammatory;liver-health,Iced or hot tea
210,Dandelion Root,Liver Health,"Liver Issues,Water Retention,Digestive Problems","Liver detox,Natural diuretic,Digestive support,Prebiotic","May cause allergies,Bitter taste",liver-health;diuretic;digestive-aid,Tea or roasted
211,Milk Thistle,Liver Health,"Liver Disease,Toxin Exposure,Gallbladder Issues","Liver protection,Detoxification,Antioxidant,Gallbladder support","May cause digestive upset,Allergic reactions possible",liver-health;detox;antioxidant,Tea or supplements
212,Nettle Leaf,Allergy Support,"Seasonal Allergies,Joint Pain,Prostate Issues","Natural antihistamine,Joint support,Prostate health,Iron rich","May interact with medications,Can irritate skin when fresh",allergy-support;joint-health;prostate-health,Tea or cooked
213,Valerian Root,Sleep Support,"Insomnia,Anxiety,Muscle Tension","Natural sedative,Anxiety relief,Muscle relaxant,Sleep aid","May cause vivid dreams,Strong smell",sleep-aid;calming;muscle-support,Tea or supplements
214,Lavender,Stress Relief,"Anxiety,Insomnia,Headaches","Calming,Sleep support,Headache relief,Skin soothing","May cause hormone effects in boys,Strong flavor",calming;sleep-aid;pain-relief,Tea or aromatherapy
215,Lemon Balm,Stress Relief,"Anxiety,Insomnia,Cold Sores","Calming,Sleep aid,Antiviral,Cognitive support","May interact with thyroid meds,Mild sedation",calming;sleep-aid;antiviral,Tea or supplements
216,Passionflower,Sleep Support,"Insomnia,Anxiety,Pain","Natural sedative,Anxiety relief,Mild pain relief,Calming","May cause dizziness,Not for pregnancy",sleep-aid;calming;pain-relief,Tea or supplements
217,St. John's Wort,Mood Support,"Mild Depression,Anxiety,Nerve Pain","Mood support,Anxiety relief,Nerve pain relief,Sleep aid","Many drug interactions,Sun sensitivity",mood-boost;calming;nerve-health,Tea or supplements
218,Echinacea,Immune Support,"Cold,Flu,Infections","Immune boost,Infection fighting,Cold duration reduction,Anti-inflammatory","May cause allergies,Not for autoimmune conditions",immune-boost;anti-viral;anti-inflammatory,Tea or supplements
219,Elderflower,Respiratory Health,"Cold,Flu,Allergies","Respiratory support,Fever reduction,Allergy relief,Immune boost","May cause allergic reactions,Must be cooked properly",respiratory-aid;immune-boost;allergy-support,Tea or syrup
220,Ginkgo Biloba,Cognitive Health,"Memory Issues,Poor Circulation,Eye Health","Memory support,Circulation improvement,Eye health,Antioxidant","Blood thinner interaction,May cause headaches",brain-health;circulation;eye-health,Tea or supplements
221,Gotu Kola,Skin Health,"Wound Healing,Anxiety,Cognitive Issues","Wound healing,Anxiety relief,Memory support,Skin health","May cause headaches,Sun sensitivity",skin-health;calming;brain-health,Tea or supplements
222,Bacopa,Cognitive Health,"Memory Issues,Anxiety,ADHD","Memory enhancement,Anxiety relief,Focus support,Neuroprotective","May cause digestive upset,Takes weeks to work",brain-health;calming;focus,Supplements
223,Rhodiola,Stress and Energy,"Fatigue,Stress,Depression","Adaptogen,Stress relief,Energy boost,Mental performance","May cause restlessness,Not for bipolar",stress-relief;energy-boost;mood-boost,Supplements
224,Holy Basil,Stress Relief,"Stress,Blood Sugar,Respiratory Issues","Adaptogen,Blood sugar support,Respiratory health,Anti-inflammatory","May affect fertility,Blood thinner interaction",stress-relief;blood-sugar;respiratory-aid,Tea or supplements
225,Astragalus,Immune Support,"Low Immunity,Fatigue,Heart Health","Immune modulator,Energy boost,Heart support,Anti-aging","May interact with immune suppressants,Not during acute illness",immune-boost;energy-boost;heart-healthy,Tea or supplements
226,Schisandra,Liver and Stress,"Liver Issues,Stress,Fatigue","Liver protection,Adaptogen,Mental clarity,Endurance","May cause heartburn,Not for pregnancy",liver-health;stress-relief;focus,Tea or supplements
227,Eleuthero,Energy and Immunity,"Fatigue,Stress,Low Immunity","Adaptogen,Energy boost,Immune support,Mental performance","May raise blood pressure,Not for autoimmune",energy-boost;stress-relief;immune-boost,Tea or supplements
228,Cordyceps,Energy and Lungs,"Fatigue,Respiratory Issues,Athletic Performance","Energy boost,Lung support,Endurance,Immune support","May slow blood clotting,Expensive",energy-boost;respiratory-aid;athletic-support,Powder or supplements
229,Chaga Mushroom,Immune Support,"Low Immunity,Inflammation,Oxidative Stress","Immune boost,Anti-inflammatory,Antioxidant rich,Blood sugar support","May interact with blood thinners,Kidney stone risk",immune-boost;anti-inflammatory;antioxidant,Tea or powder
230,Turkey Tail Mushroom,Immune Support,"Low Immunity,Cancer Support,Gut Health","Immune modulation,Prebiotic,Gut health,Antioxidants","May cause digestive issues,Quality varies",immune-boost;gut-health;antioxidant,Tea or supplements
231,Bee Pollen,Energy and Allergies,"Fatigue,Seasonal Allergies,Immunity","Energy boost,Allergy desensitization,Immune support,Nutrient dense","May cause severe allergies,Not for bee allergies",energy-boost;allergy-support;immune-boost,Smoothies or sprinkled
232,Royal Jelly,Skin and Energy,"Fatigue,Skin Aging,Immunity","Energy boost,Skin health,Immune support,Nutrient rich","May cause allergies,Expensive",energy-boost;skin-health;immune-boost,Supplements
233,Propolis,Immune Support,"Infections,Cold Sores,Dental Health","Antimicrobial,Wound healing,Immune boost,Anti-inflammatory","May cause allergies,Strong taste",immune-boost;antimicrobial;dental-health,Tincture or supplements
234,Manuka Honey,Wound Healing,"Wounds,Sore Throat,Digestive Issues","Antimicrobial,Wound healing,Sore throat relief,Gut health","Very high sugar,Expensive",antimicrobial;wound-healing;digestive-aid,Topical or internal
235,Kelp,Thyroid Health,"Thyroid Issues,Mineral Deficiency,Weight Management","Iodine for thyroid,Mineral rich,Metabolism support,Detoxifying","May cause thyroid problems if excessive,Heavy metal concerns",thyroid-health;mineral-support;metabolism-boost,Supplements or cooking
236,Dulse,Thyroid Health,"Thyroid Issues,Anemia,Blood Pressure","Iodine,Iron rich,Potassium,Protein for seaweed","May be high in sodium,Thyroid concerns if excessive",thyroid-health;blood-building;heart-healthy,Flakes or cooking
237,Nori,Thyroid Health,"Thyroid Issues,Cholesterol,Eye Health","Iodine,Vitamin A,Protein,B12 for vegans","May be high in sodium,Thyroid concerns",thyroid-health;eye-health;vegan-support,Sushi or snacks
238,Wakame,Bone Health,"Weak Bones,Weight Management,Heart Health","Calcium,Fucoxanthin for fat burning,Magnesium,Heart health","High sodium,Thyroid concerns",bone-health;weight-management;heart-healthy,Soups or salads
239,Kombu,Digestive Health,"Digestive Issues,Blood Pressure,Thyroid Health","Glutamate for flavor,Blood pressure support,Thyroid support,Digestive aid","Very high iodine,Must limit intake",digestive-aid;blood-pressure;thyroid-health,Stock making
240,Sea Moss,Thyroid and Skin,"Thyroid Issues,Skin Health,Digestive Issues","Thyroid support,Skin health,Gut soothing,92 minerals","May cause thyroid issues,Quality varies",thyroid-health;skin-health;digestive-aid,Gel or smoothies
241,Liver (Beef),Blood Building,"Anemia,Fatigue,B12 Deficiency","Most nutrient dense food,B12,Iron,Vitamin A","High vitamin A,High cholesterol",blood-building;energy-boost;nutrient-support,Pâté or sautéed
242,Heart (Beef),Heart Health,"Energy Issues,Heart Health,B12 Deficiency","CoQ10,B vitamins,Iron,Taurine for heart","High cholesterol,Texture concerns",heart-healthy;energy-boost;blood-building,Grilled or stewed
243,Bone Marrow,Joint Health,"Joint Issues,Immune Weakness,Nutrient Deficiency","Collagen,Healthy fats,Immune support,Nutrient dense","High calories,High fat",joint-health;immune-boost;nutrient-support,Roasted
244,Anchovies,Heart Health,"Heart Issues,Bone Health,Brain Health","Omega-3,Calcium from bones,Low mercury,Vitamin D","High sodium,Strong taste",heart-healthy;bone-health;brain-health,Pizza or Caesar salad
245,Herring,Heart Health,"Heart Issues,Vitamin D Deficiency,Brain Health","Omega-3,Vitamin D,Protein,Low mercury","High sodium if pickled,Strong flavor",heart-healthy;bone-health;brain-health,Pickled or smoked
246,Oysters,Immune Support,"Zinc Deficiency,Immunity,Sexual Health","Highest zinc food,Immune boost,B12,Iron","May contain toxins,Allergies",immune-boost;sexual-health;blood-building,Raw or cooked
247,Mussels,Blood Building,"Anemia,B12 Deficiency,Joint Health","Iron rich,B12,Omega-3,Sustainable",May contain toxins;Allergies,blood-building;heart-healthy;joint-health,Steamed or in pasta
248,Clams,Blood Building,"Anemia,B12 Deficiency,Energy Issues","B12 champion,Iron,Protein,Low fat","May contain toxins,Sandy if not cleaned",blood-building;energy-boost;low-fat,Chowder or steamed
249,Crab,Bone Health,"Bone Health,Heart Health,Immunity","Protein,Zinc,Copper,Selenium","Cholesterol,Potential allergen",bone-health;heart-healthy;immune-boost,Steamed or cakes
250,Lobster,Heart Health,"Heart Health,Thyroid Issues,Immunity","Low fat protein,Selenium,Copper,Zinc","High cholesterol,Expensive",heart-healthy;thyroid-health;immune-boost,Steamed or grilled
251,Venison,Muscle Health,"Muscle Building,Iron Deficiency,Weight Management","Lean protein,Iron rich,B vitamins,Low fat","Gamey taste,Expensive",muscle-support;blood-building;weight-management,Roasted or grilled
252,Bison,Heart Health,"Heart Health,Muscle Building,Anemia","Leaner than beef,Iron,Protein,Omega-3 (grass-fed)","Expensive,May overcook easily",heart-healthy;muscle-support;blood-building,Burgers or steaks
253,Lamb,Blood Building,"Anemia,B12 Deficiency,Zinc Deficiency","Iron,B12,Zinc,Protein","High saturated fat,Strong flavor",blood-building;energy-boost;immune-boost,Roasted or grilled
254,Duck,Energy Support,"Fatigue,Iron Deficiency,Skin Health","Iron,B vitamins,Selenium,Zinc","High fat,Skin is fatty",energy-boost;blood-building;immune-boost,Roasted or confit
255,Goat,Lean Protein,"Weight Management,Heart Health,Anemia","Lean protein,Iron,Low fat vs beef,B12","Gamey taste,May be tough",weight-management;heart-healthy;blood-building,Curries or roasted
256,Rabbit,Weight Management,"Weight Loss,Heart Health,Muscle Building","Very lean,High protein,Low cholesterol,B12","Very lean may be dry,Not widely available",weight-management;heart-healthy;muscle-support,Stewed or roasted
257,Quail Eggs,Eye Health,"Eye Health,Allergies,Skin Health","Vitamin A,May help allergies,B vitamins,Mineral rich","Small size,Cholesterol",eye-health;allergy-support;skin-health,Boiled or fried
258,Goose,Energy Support,"Fatigue,Immunity,Skin Health","Iron,Zinc,B vitamins,Protein","High fat,Expensive",energy-boost;immune-boost;skin-health,Roasted
259,Pheasant,Lean Protein,"Weight Management,Heart Health,B12 Deficiency","Lean protein,B vitamins,Iron,Low fat","Gamey taste,Expensive",weight-management;heart-healthy;blood-building,Roasted
260,Cottage Cheese,Muscle Health,"Muscle Building,Weight Management,Sleep Issues","Casein protein,Calcium,B12,Tryptophan","Sodium content,Lactose issues",muscle-support;weight-management;sleep-aid,Snack or with fruit
